sales_date,sep_region,category,product,dealer_code,sales_agent_code,payment_method,type_of_contract,total_price,deposit_amount,payment_frequency,daily_rate,qty
2025-03-13,North,OnePlus 11,OnePlus 11,593879,2816,UPI,Postpaid,4397.809821,439.7809821,Monthly,146.5936607,199
2025-03-13,South,Vivo X90,Vivo X90,593879,6289,Credit Card,Postpaid,2336.84373,233.684373,One-time,2336.84373,133
2025-03-13,East,Xiaomi 13,Xiaomi 13,593879,6289,Cash,Postpaid,1966.082091,196.6082091,One-time,1966.082091,59
2025-03-13,East,Vivo X90,Vivo X90,303019,3779,EMI,Postpaid,2355.742248,235.5742248,Monthly,78.52474159,73
2025-03-13,East,Oppo Find X6,Oppo Find X6,303019,6803,Cash,Postpaid,1682.812863,168.2812863,Monthly,56.09376209,127
2025-03-13,West,Realme GT3,Realme GT3,303019,2457,EMI,Prepaid,5843.112416,584.3112416,Monthly,194.7704139,154
2025-03-13,East,iPhone 15,iPhone 15,694599,6644,UPI,Prepaid,5513.355718,551.3355718,Monthly,183.7785239,162
2025-03-13,North,Samsung Galaxy S23,Samsung Galaxy S23,694599,7463,Credit Card,Prepaid,1284.752045,128.4752045,One-time,1284.752045,52
2025-03-13,South,Vivo X90,Vivo X90,694599,2195,Debit Card,Postpaid,1061.399444,106.1399444,One-time,1061.399444,85
2025-03-13,West,Realme GT3,Realme GT3,694599,2195,Cash,Postpaid,3823.235615,382.3235615,One-time,3823.235615,132
2025-03-13,South,Realme GT3,Realme GT3,442252,3182,EMI,Postpaid,7508.323347,750.8323347,Monthly,250.2774449,99
2025-03-13,East,OnePlus 11,OnePlus 11,442252,9840,Cash,Postpaid,3480.465495,348.0465495,Monthly,116.0155165,76
2025-03-13,West,Xiaomi 13,Xiaomi 13,442252,7638,Credit Card,Postpaid,9793.258954,979.3258954,One-time,9793.258954,175
2025-03-13,East,Xiaomi 13,Xiaomi 13,409352,2981,UPI,Postpaid,3227.467032,322.7467032,One-time,3227.467032,179
2025-03-13,North,Google Pixel 7,Google Pixel 7,409352,6583,EMI,Prepaid,4757.337964,475.7337964,Monthly,158.5779321,176
2025-03-13,South,Realme GT3,Realme GT3,409352,9179,Credit Card,Prepaid,3080.830107,308.0830107,Monthly,102.6943369,166
2025-03-13,West,Oppo Find X6,Oppo Find X6,888118,1196,Debit Card,Postpaid,4510.373476,451.0373476,Monthly,150.3457825,198
2025-03-13,North,Vivo X90,Vivo X90,888118,1196,UPI,Postpaid,2688.291793,268.8291793,Monthly,89.60972645,146
2025-03-13,South,Motorola Moto G73,Motorola Moto G73,888118,6644,UPI,Prepaid,2171.425765,217.1425765,Monthly,72.38085882,141
2025-03-13,North,iPhone 15,iPhone 15,888118,1714,Debit Card,Prepaid,3083.614566,308.3614566,Monthly,102.7871522,115
2025-03-13,West,Vivo X90,Vivo X90,496396,3182,Debit Card,Prepaid,6787.135876,678.7135876,Monthly,226.2378625,86
2025-03-13,East,Motorola Moto G73,Motorola Moto G73,629695,2457,Credit Card,Postpaid,2322.411446,232.2411446,One-time,2322.411446,84
2025-03-13,East,Motorola Moto G73,Motorola Moto G73,410648,6549,UPI,Prepaid,587.0456027,58.70456027,One-time,587.0456027,104
2025-03-13,East,Samsung Galaxy S23,Samsung Galaxy S23,410648,3182,UPI,Prepaid,8673.674824,867.3674824,One-time,8673.674824,65
2025-03-13,West,Oppo Find X6,Oppo Find X6,684173,4451,UPI,Prepaid,4346.083877,434.6083877,One-time,4346.083877,68
2025-03-13,North,OnePlus 11,OnePlus 11,684173,1714,EMI,Postpaid,2005.821368,200.5821368,Monthly,66.86071226,58
2025-03-13,West,Xiaomi 13,Xiaomi 13,468439,2981,Credit Card,Prepaid,2662.758812,266.2758812,Monthly,88.75862708,160
2025-03-13,East,Realme GT3,Realme GT3,468439,2195,Credit Card,Prepaid,3548.791772,354.8791772,Monthly,118.2930591,53
2025-03-13,North,Motorola Moto G73,Motorola Moto G73,288591,3368,Credit Card,Prepaid,970.6066206,97.06066206,One-time,970.6066206,189
2025-03-13,West,Google Pixel 7,Google Pixel 7,288591,4382,Cash,Prepaid,1340.857024,134.0857024,One-time,1340.857024,166
2025-03-13,West,OnePlus 11,OnePlus 11,288591,6408,Credit Card,Prepaid,908.4887977,90.84887977,One-time,908.4887977,153
2025-03-13,East,Realme GT3,Realme GT3,288591,4451,Debit Card,Prepaid,3084.259984,308.4259984,One-time,3084.259984,199
2025-03-13,South,Nokia G22,Nokia G22,311358,2198,EMI,Postpaid,3003.275635,300.3275635,One-time,3003.275635,85
2025-03-13,West,Google Pixel 7,Google Pixel 7,311358,9840,Cash,Postpaid,310.4649919,31.04649919,Monthly,10.34883306,152
2025-03-13,East,Samsung Galaxy S23,Samsung Galaxy S23,311358,5947,Debit Card,Postpaid,3091.220384,309.1220384,One-time,3091.220384,133
2025-03-13,South,Motorola Moto G73,Motorola Moto G73,311358,3368,Cash,Postpaid,1923.248125,192.3248125,Monthly,64.10827082,107
2025-03-13,South,Realme GT3,Realme GT3,580191,5379,EMI,Prepaid,4552.824926,455.2824926,One-time,4552.824926,67
2025-03-13,West,OnePlus 11,OnePlus 11,580191,6583,Debit Card,Postpaid,2299.224962,229.9224962,Monthly,76.64083208,192
2025-03-13,North,Google Pixel 7,Google Pixel 7,353714,1196,EMI,Prepaid,5937.373668,593.7373668,One-time,5937.373668,157
2025-03-13,South,Motorola Moto G73,Motorola Moto G73,353714,4382,Cash,Prepaid,1257.522446,125.7522446,Monthly,41.91741485,153
2025-03-13,West,Xiaomi 13,Xiaomi 13,910729,2816,Credit Card,Postpaid,4431.233499,443.1233499,Monthly,147.7077833,98
2025-03-13,South,Xiaomi 13,Xiaomi 13,242475,6549,Credit Card,Prepaid,6444.139851,644.4139851,One-time,6444.139851,63
2025-03-13,West,OnePlus 11,OnePlus 11,242475,2198,Debit Card,Prepaid,3020.04586,302.004586,One-time,3020.04586,105
2025-03-13,North,Samsung Galaxy S23,Samsung Galaxy S23,242475,1714,UPI,Postpaid,6791.760844,679.1760844,One-time,6791.760844,81
2025-03-13,South,Xiaomi 13,Xiaomi 13,506116,8515,Debit Card,Prepaid,3999.150995,399.9150995,One-time,3999.150995,71
2025-03-13,North,Vivo X90,Vivo X90,359837,4382,UPI,Postpaid,3823.8205,382.38205,Monthly,127.4606833,73
2025-03-13,South,Google Pixel 7,Google Pixel 7,359837,2729,Cash,Postpaid,3961.853794,396.1853794,Monthly,132.0617931,75
2025-03-13,North,Samsung Galaxy S23,Samsung Galaxy S23,359837,2981,Debit Card,Postpaid,3118.03745,311.803745,Monthly,103.9345817,190
2025-03-13,South,Realme GT3,Realme GT3,239079,2981,Credit Card,Prepaid,7997.918151,799.7918151,One-time,7997.918151,178
2025-03-13,East,Motorola Moto G73,Motorola Moto G73,239079,9128,Cash,Prepaid,476.0785706,47.60785706,Monthly,15.86928569,138
2025-03-13,North,Nokia G22,Nokia G22,341075,3375,Credit Card,Postpaid,1999.243653,199.9243653,One-time,1999.243653,168
2025-03-13,West,Google Pixel 7,Google Pixel 7,341075,5115,UPI,Prepaid,6988.540086,698.8540086,One-time,6988.540086,163
2025-03-13,South,Vivo X90,Vivo X90,341075,7286,EMI,Postpaid,833.463807,83.3463807,Monthly,27.7821269,105
2025-03-13,West,OnePlus 11,OnePlus 11,725627,2457,Cash,Postpaid,5564.034705,556.4034705,Monthly,185.4678235,105
2025-03-13,West,Realme GT3,Realme GT3,725627,6408,EMI,Prepaid,3727.847296,372.7847296,Monthly,124.2615765,129
2025-03-13,South,Samsung Galaxy S23,Samsung Galaxy S23,523179,3779,Credit Card,Postpaid,9729.299213,972.9299213,Monthly,324.3099738,57
